day,hour,consumption,insolation,temperature,C_buy,Emissions
1,0,0,0,0,0,0
1,1,531.38,0,22.7,0.05921,5.956823613
1,2,524.77,0,22.7,0.05921,5.556773519
1,3,563.46,0,22.8,0.05921,4.980717652
1,4,506.28,0,22.8,0.05921,4.505055444
1,5,542.58,0,22.8,0.05921,4.075052118
1,6,588.2,0,22.9,0.05921,3.868077654
1,7,603.97,0,23.1,0.05921,3.49368355
1,8,633.99,33.2315,23.5,0.05921,3.291090403
1,9,608.88,202.289,24.2,0.05921,3.00588069
1,10,620.18,377.901,24.8,0.05921,2.736141507
1,11,617.58,124.45,25.3,0.05921,2.600788949
1,12,623.52,475.2,25.6,0.05921,2.574733005
1,13,553.4,369.042,25.7,0.05921,2.677190001
1,14,523.02,193.445,25.7,0.05921,2.81451347
1,15,525.29,165.812,25.5,0.05921,3.186494301
1,16,529.7,83.6,25.3,0.05921,3.663321825
1,17,511.5,172.225,24.9,0.05921,3.922192135
1,18,516.63,17.4465,24.5,0.05921,4.120315344
1,19,511.42,0,24.4,0.05921,4.44282576
1,20,500.8,0,24.3,0.05921,4.72390188
1,21,503.63,0,24.2,0.05921,4.983871029
1,22,494.11,0,24.1,0.05921,5.180352999
1,23,502.97,0,24.1,0.05921,5.391424382
1,24,488.34,0,24,0.05921,5.485603713
2,25,497.81,0,24,0.05921,5.474414215
2,26,532.79,0,23.9,0.05921,5.194844747
2,27,501.31,0,23.9,0.05921,4.86759522
2,28,529.55,0,23.8,0.05921,4.48990554
2,29,523.1,0,23.7,0.05921,4.14191183
2,30,675.53,0,23.6,0.05921,3.656806887
2,31,686.99,0,23.7,0.0885112,3.266943685
2,32,684.66,34.1904,24.3,0.0885112,2.910892651
2,33,686.98,205.065,25,0.0885112,2.690027658
2,34,668.24,380.134,25.5,0.0885112,2.572888822
2,35,686.54,519.82,26,0.05921,2.543830052
2,36,718.85,422.547,26.2,0.05921,2.644085071
2,37,622.47,207.727,26.4,0.05921,2.829010703
2,38,623.76,193.446,26.4,0.05921,3.078592883
2,39,613.75,296.891,26.3,0.05921,3.399594026
2,40,577.73,347.366,26,0.05921,3.701732336
2,41,572.7,117.757,25.5,0.05921,4.019995774
2,42,522.44,17.2992,25,0.05921,4.309117308
2,43,537.46,0,24.7,0.0885112,4.577437966
2,44,523.26,0,24.5,0.0885112,4.744591991
2,45,508.2,0,24.4,0.0885112,4.958433948
2,46,517.42,0,24.4,0.0885112,5.256314802
2,47,498.13,0,24.3,0.05921,5.590708854
2,48,528.69,0,24.3,0.05921,5.809962857
3,49,512.65,0,24.3,0.05921,5.924205578
3,50,515.23,0,24.2,0.05921,5.548783858
3,51,552.16,0,24.2,0.05921,5.159502351
3,52,516.52,0,24.2,0.05921,4.766591297
3,53,589.27,0,24.2,0.05921,4.390128616
3,54,643.08,0,24.3,0.05921,3.931115353
3,55,763.27,0,24.6,0.0885112,3.438260613
3,56,780.24,32.8003,25.1,0.0885112,3.049901198
3,57,764.81,203.018,25.7,0.0885112,2.838986792
3,58,813.52,114.95,26,0.0885112,2.745709783
3,59,764.84,250.162,26.3,0.05921,2.737818727
3,60,777.85,614.3,26.4,0.05921,2.970779592
3,61,789.22,462.441,26.5,0.05921,3.363623476
3,62,790.34,527.2,26.6,0.05921,3.688623626
